day,hour,festival,rain,weather,vehicle_count,traffic_density
Tuesday,23,Christmas,0,Cloudy,644,0.522
Monday,14,Ganesh Chaturthi,0,Rainy,1201,0.8005
Saturday,0,Ganesh Chaturthi,1,Cloudy,781,0.6905
Tuesday,23,Ganesh Chaturthi,1,Rainy,174,0.387
Wednesday,14,None,0,Clear,649,0.3245
Friday,17,Ganesh Chaturthi,0,Rainy,734,0.567
Saturday,2,None,0,Clear,127,0.0635
Saturday,22,None,0,Rainy,1136,0.568
Saturday,3,Diwali,1,Rainy,1711,1.0
Saturday,13,Ganesh Chaturthi,0,Rainy,1484,0.942
Tuesday,0,Diwali,0,Cloudy,1842,1.0
Tuesday,8,Christmas,0,Clear,189,0.2945
Tuesday,3,Diwali,1,Cloudy,400,0.5
Tuesday,23,None,1,Rainy,450,0.325
Monday,18,Ganesh Chaturthi,0,Clear,212,0.306
Friday,14,Ganesh Chaturthi,0,Rainy,941,0.6705
Thursday,4,Christmas,0,Cloudy,127,0.2635
Sunday,14,Ganesh Chaturthi,1,Cloudy,984,0.7919999999999999
Thursday,15,Eid,1,Clear,656,0.628
Sunday,18,Diwali,0,Cloudy,250,0.325
Friday,17,Diwali,0,Cloudy,1826,1.0
Monday,11,Eid,1,Clear,259,0.4295
Monday,15,Ganesh Chaturthi,1,Clear,1896,1.0
Monday,13,Eid,0,Rainy,688,0.544
Thursday,20,Ganesh Chaturthi,0,Cloudy,619,0.5095000000000001
Thursday,6,None,1,Cloudy,1614,0.907
Tuesday,13,Ganesh Chaturthi,1,Rainy,655,0.6275000000000001
Sunday,17,Eid,0,Rainy,1380,0.8899999999999999
Monday,1,Diwali,1,Clear,1205,0.9025
Sunday,16,Ganesh Chaturthi,0,Rainy,385,0.3925
Thursday,11,Eid,0,Rainy,1130,0.7649999999999999
Friday,13,Ganesh Chaturthi,1,Clear,1686,1.0
Saturday,6,Christmas,0,Clear,682,0.541
Sunday,18,Christmas,0,Cloudy,542,0.47100000000000003
Friday,2,Ganesh Chaturthi,1,Cloudy,449,0.5245
Tuesday,11,Ganesh Chaturthi,1,Cloudy,686,0.643
Tuesday,13,Eid,0,Cloudy,1158,0.7789999999999999
Wednesday,17,Diwali,0,Rainy,280,0.34
Thursday,16,Diwali,0,Clear,1646,1.0
Monday,9,None,0,Cloudy,830,0.415
Monday,6,Eid,0,Rainy,1543,0.9715
Monday,15,Eid,0,Clear,100,0.25
Wednesday,11,Christmas,1,Cloudy,1924,1.0
Thursday,1,Christmas,1,Rainy,1728,1.0
Friday,12,Diwali,0,Clear,432,0.41600000000000004
Tuesday,11,Christmas,0,Clear,1512,0.956
Saturday,3,None,1,Clear,1058,0.629
Friday,0,Christmas,0,Cloudy,813,0.6065
Monday,15,Ganesh Chaturthi,1,Cloudy,516,0.558
Wednesday,4,Christmas,1,Clear,1776,1.0
Monday,2,Eid,0,Cloudy,1225,0.8125
Tuesday,13,Diwali,0,Rainy,1572,0.986
Sunday,13,Diwali,1,Rainy,275,0.4375
Tuesday,6,Diwali,0,Clear,374,0.387
Wednesday,20,Ganesh Chaturthi,1,Rainy,1313,0.9565
Wednesday,4,None,1,Clear,1224,0.712
Thursday,21,Diwali,0,Clear,214,0.307
Wednesday,6,Diwali,0,Cloudy,318,0.359
Monday,17,Diwali,0,Cloudy,171,0.28550000000000003
Thursday,13,Christmas,1,Clear,806,0.703
Thursday,17,Christmas,0,Cloudy,1581,0.9904999999999999
Monday,12,Diwali,1,Cloudy,1419,1.0
Friday,2,Christmas,1,Rainy,112,0.356
Saturday,14,Diwali,0,Clear,1028,0.714
Wednesday,12,Eid,0,Clear,402,0.401
Tuesday,21,Eid,0,Cloudy,1778,1.0
Thursday,9,Ganesh Chaturthi,0,Rainy,836,0.618
Tuesday,12,None,0,Rainy,607,0.3035
Sunday,14,Eid,0,Clear,328,0.364
Thursday,18,None,1,Cloudy,247,0.2235
Wednesday,12,Ganesh Chaturthi,0,Rainy,1298,0.849
Thursday,22,Eid,0,Cloudy,326,0.363
Sunday,13,Christmas,1,Rainy,1669,1.0
Thursday,11,None,0,Clear,1337,0.6685
Wednesday,10,Eid,0,Clear,762,0.581
Friday,10,Diwali,1,Cloudy,959,0.7795
Friday,8,Christmas,1,Clear,195,0.39749999999999996
Thursday,12,None,0,Rainy,1872,0.936
Friday,1,Ganesh Chaturthi,1,Cloudy,1844,1.0
Saturday,0,Ganesh Chaturthi,1,Rainy,231,0.4155
Thursday,5,Ganesh Chaturthi,1,Rainy,500,0.55
Friday,12,Diwali,1,Clear,379,0.48950000000000005
Sunday,7,Christmas,0,Clear,284,0.34199999999999997
Tuesday,12,Ganesh Chaturthi,1,Cloudy,605,0.6024999999999999
Wednesday,11,Eid,1,Rainy,1838,1.0
Monday,5,Eid,1,Cloudy,250,0.42500000000000004
Saturday,19,Eid,1,Cloudy,434,0.517
Tuesday,16,Eid,0,Cloudy,1048,0.724
Friday,14,Diwali,1,Clear,391,0.49550000000000005
Monday,23,None,0,Clear,1648,0.824
Saturday,17,Diwali,0,Clear,1100,0.75
Wednesday,12,Eid,1,Cloudy,220,0.41000000000000003
Friday,17,Eid,1,Cloudy,918,0.759
Wednesday,17,None,0,Clear,1484,0.742
Saturday,21,None,1,Cloudy,1071,0.6355
Friday,2,Christmas,0,Rainy,544,0.47200000000000003
Sunday,7,Eid,1,Rainy,887,0.7434999999999999
Monday,0,None,0,Cloudy,244,0.122
Saturday,16,Christmas,1,Rainy,1452,1.0
Monday,23,Christmas,1,Cloudy,1945,1.0
Sunday,4,Eid,0,Clear,413,0.4065
Friday,13,Eid,1,Cloudy,1738,1.0
Saturday,16,Eid,0,Clear,830,0.615
Friday,18,Diwali,0,Clear,1607,1.0
Monday,13,Diwali,0,Cloudy,1124,0.762
Tuesday,2,Diwali,1,Cloudy,1571,1.0
Tuesday,2,Diwali,0,Clear,725,0.5625
Tuesday,14,Ganesh Chaturthi,0,Rainy,228,0.314
Thursday,18,Ganesh Chaturthi,1,Rainy,1458,1.0
Sunday,5,Eid,1,Clear,971,0.7855
Saturday,4,Diwali,1,Rainy,1983,1.0
Tuesday,16,Eid,0,Clear,1338,0.869
Thursday,22,Christmas,0,Clear,1266,0.833
Monday,5,Christmas,1,Clear,317,0.4585
Thursday,3,Diwali,0,Cloudy,745,0.5725
Wednesday,8,Eid,0,Rainy,1913,1.0
Saturday,6,Ganesh Chaturthi,0,Cloudy,1698,1.0
Tuesday,8,Diwali,1,Cloudy,1599,1.0
Thursday,4,None,1,Clear,1925,1.0
Monday,10,Christmas,0,Cloudy,1992,1.0
Wednesday,19,Ganesh Chaturthi,1,Cloudy,265,0.4325
Sunday,19,Christmas,0,Rainy,499,0.4495
Sunday,8,Christmas,1,Clear,1662,1.0
Thursday,4,Christmas,1,Cloudy,1714,1.0
Friday,22,Eid,0,Clear,746,0.573
Thursday,22,Ganesh Chaturthi,1,Clear,508,0.554
Friday,21,Diwali,1,Clear,1740,1.0
Tuesday,4,None,1,Cloudy,1690,0.945
Friday,14,None,0,Clear,676,0.338
Wednesday,10,None,0,Cloudy,1791,0.8955
Saturday,23,None,1,Clear,1447,0.8235
Monday,17,Christmas,0,Cloudy,960,0.6799999999999999
Thursday,20,None,0,Rainy,1856,0.928
Sunday,12,Christmas,0,Cloudy,1326,0.863
Thursday,4,Ganesh Chaturthi,0,Rainy,1779,1.0
Wednesday,5,Eid,1,Clear,1234,0.9169999999999999
Friday,0,Diwali,0,Rainy,727,0.5635
Saturday,4,Christmas,0,Cloudy,1314,0.857
Wednesday,23,None,1,Clear,1063,0.6315
Sunday,13,Ganesh Chaturthi,1,Cloudy,395,0.49750000000000005
Friday,5,Eid,1,Clear,1649,1.0
Tuesday,22,None,0,Clear,849,0.4245
Friday,6,Eid,1,Rainy,543,0.5715
Thursday,12,Diwali,0,Clear,1244,0.8220000000000001
Saturday,4,Ganesh Chaturthi,1,Cloudy,575,0.5875
Thursday,10,Ganesh Chaturthi,0,Clear,513,0.4565
Sunday,5,Diwali,1,Rainy,322,0.46099999999999997
Friday,19,Christmas,1,Rainy,767,0.6835
Saturday,20,Ganesh Chaturthi,1,Cloudy,146,0.373
Monday,13,Diwali,0,Clear,1553,0.9764999999999999
Thursday,23,Eid,1,Clear,762,0.6809999999999999
Saturday,15,Christmas,0,Clear,656,0.528
Tuesday,1,None,1,Cloudy,221,0.21050000000000002
Monday,10,Christmas,1,Clear,1834,1.0
Thursday,2,Eid,1,Rainy,1709,1.0
Friday,21,Eid,0,Clear,338,0.369
Tuesday,13,Diwali,0,Clear,1667,1.0
Wednesday,2,Ganesh Chaturthi,0,Clear,987,0.6935
Sunday,0,Christmas,0,Clear,253,0.3265
Saturday,5,Eid,1,Cloudy,1762,1.0
Tuesday,14,Ganesh Chaturthi,1,Clear,716,0.658
Sunday,12,Christmas,1,Rainy,651,0.6255000000000001
Saturday,4,Diwali,1,Cloudy,1222,0.9109999999999999
Sunday,5,Ganesh Chaturthi,0,Cloudy,1268,0.8340000000000001
Friday,9,Ganesh Chaturthi,1,Cloudy,567,0.5835
Monday,6,Christmas,1,Clear,651,0.6255000000000001
Saturday,6,Diwali,0,Clear,1776,1.0
Tuesday,13,Diwali,0,Clear,366,0.383
Monday,19,None,1,Clear,870,0.535
Thursday,15,Christmas,0,Clear,1975,1.0
Friday,10,Eid,0,Rainy,724,0.562
Monday,6,Diwali,0,Rainy,494,0.447
Wednesday,20,Diwali,1,Rainy,607,0.6035
Wednesday,2,Diwali,1,Clear,742,0.6709999999999999
Monday,17,Ganesh Chaturthi,1,Clear,272,0.43600000000000005
Saturday,15,Diwali,0,Clear,842,0.621
Sunday,12,Ganesh Chaturthi,0,Cloudy,511,0.4555
Monday,14,Diwali,0,Cloudy,1943,1.0
Tuesday,4,Diwali,0,Rainy,1017,0.7084999999999999
Thursday,12,Ganesh Chaturthi,0,Cloudy,281,0.3405
Tuesday,2,Christmas,0,Rainy,1256,0.8280000000000001
Sunday,15,None,1,Clear,940,0.57
Thursday,2,Ganesh Chaturthi,0,Cloudy,1033,0.7164999999999999
Saturday,16,Christmas,0,Clear,461,0.4305
Thursday,13,Christmas,1,Cloudy,1810,1.0
Friday,6,Ganesh Chaturthi,0,Cloudy,411,0.40549999999999997
Friday,6,Eid,1,Cloudy,1568,1.0
Saturday,15,Diwali,1,Cloudy,838,0.719
Friday,19,None,0,Cloudy,150,0.075
Monday,20,Ganesh Chaturthi,0,Clear,1964,1.0
Friday,1,Christmas,0,Cloudy,428,0.41400000000000003
Thursday,5,Eid,1,Clear,1807,1.0
Tuesday,13,Ganesh Chaturthi,1,Rainy,1797,1.0
Tuesday,17,Diwali,1,Clear,627,0.6135
Tuesday,12,Christmas,1,Cloudy,425,0.5125
Tuesday,2,Ganesh Chaturthi,1,Rainy,1897,1.0
Friday,3,Diwali,0,Cloudy,1684,1.0
Wednesday,17,Ganesh Chaturthi,0,Clear,473,0.4365
Tuesday,22,None,0,Cloudy,684,0.342
Tuesday,16,Christmas,1,Cloudy,318,0.45899999999999996
Friday,20,Diwali,0,Cloudy,1577,0.9884999999999999
Saturday,5,Christmas,1,Cloudy,650,0.625
Friday,18,None,0,Clear,657,0.3285
Tuesday,19,Eid,1,Cloudy,1950,1.0
Sunday,10,Ganesh Chaturthi,0,Clear,441,0.4205
Friday,16,Christmas,0,Cloudy,1283,0.8414999999999999
Friday,17,Christmas,0,Clear,761,0.5805
Sunday,0,None,1,Clear,731,0.4655
Friday,17,Christmas,1,Rainy,380,0.49
Tuesday,1,Diwali,0,Rainy,1670,1.0
Friday,14,Diwali,1,Clear,830,0.715
Thursday,9,Eid,1,Rainy,705,0.6525
Saturday,6,None,1,Clear,1499,0.8495
Monday,1,None,1,Rainy,222,0.21100000000000002
Sunday,0,Eid,0,Rainy,183,0.2915
Wednesday,13,Christmas,1,Rainy,498,0.549
Sunday,3,Christmas,1,Cloudy,556,0.5780000000000001
Sunday,12,Diwali,1,Rainy,1067,0.8335
Saturday,14,None,0,Clear,674,0.337
Friday,13,Eid,0,Clear,1443,0.9215
Saturday,7,Ganesh Chaturthi,1,Rainy,1952,1.0
Thursday,23,Diwali,0,Clear,1387,0.8935
Saturday,7,Christmas,1,Rainy,1348,0.9740000000000001
Monday,0,Eid,0,Rainy,1133,0.7665
Thursday,2,Diwali,0,Rainy,929,0.6645000000000001
Saturday,15,None,1,Clear,1650,0.9249999999999999
Wednesday,9,Christmas,0,Rainy,1132,0.766
Friday,16,None,1,Cloudy,820,0.51
Saturday,22,Diwali,1,Rainy,881,0.7405
Wednesday,13,Ganesh Chaturthi,0,Cloudy,1713,1.0
Friday,23,None,1,Rainy,1838,1.0
Sunday,19,Diwali,0,Cloudy,483,0.4415
Monday,0,Ganesh Chaturthi,1,Clear,1057,0.8284999999999999
Tuesday,11,Eid,0,Clear,1748,1.0
Saturday,19,Christmas,1,Rainy,1386,0.993
Monday,18,Christmas,0,Clear,1654,1.0
Tuesday,3,Ganesh Chaturthi,1,Cloudy,1662,1.0
Sunday,13,Christmas,0,Clear,231,0.3155
Thursday,17,Ganesh Chaturthi,0,Rainy,489,0.4445
Monday,22,Ganesh Chaturthi,0,Rainy,1912,1.0
Thursday,21,Ganesh Chaturthi,0,Rainy,935,0.6675
Monday,1,Christmas,1,Cloudy,245,0.4225
Sunday,18,Diwali,1,Rainy,1168,0.884
Sunday,11,Diwali,0,Clear,890,0.645
Wednesday,1,Christmas,0,Clear,490,0.445
Friday,20,Eid,1,Clear,1577,1.0
Sunday,11,Christmas,1,Cloudy,245,0.4225
Thursday,1,Diwali,1,Clear,1306,0.953
Saturday,9,Ganesh Chaturthi,1,Cloudy,164,0.382
Friday,5,Christmas,1,Clear,1769,1.0
Sunday,15,Eid,1,Rainy,1427,1.0
Monday,19,Christmas,0,Rainy,433,0.4165
Thursday,18,Ganesh Chaturthi,0,Rainy,147,0.2735
Friday,4,Ganesh Chaturthi,1,Rainy,592,0.596
Saturday,15,Eid,0,Clear,249,0.3245
Sunday,22,Ganesh Chaturthi,1,Rainy,1232,0.916
Friday,16,Diwali,1,Cloudy,433,0.5165
Wednesday,18,Ganesh Chaturthi,1,Cloudy,232,0.41600000000000004
Monday,19,Diwali,0,Clear,1081,0.7404999999999999
Saturday,3,Christmas,0,Rainy,148,0.274
Friday,8,Christmas,0,Rainy,918,0.659
Thursday,18,None,1,Cloudy,1532,0.866
Friday,7,Eid,0,Clear,937,0.6685000000000001
Friday,4,Ganesh Chaturthi,0,Clear,574,0.487
Monday,18,Christmas,1,Clear,260,0.43000000000000005
Thursday,4,Christmas,0,Rainy,444,0.42200000000000004
Friday,22,None,0,Clear,1164,0.582
Friday,11,Christmas,1,Cloudy,930,0.765
Sunday,1,None,0,Rainy,1100,0.55
Monday,6,None,1,Rainy,1974,1.0
Monday,13,Diwali,0,Cloudy,510,0.455
Sunday,13,None,1,Clear,443,0.3215
Monday,17,Christmas,0,Rainy,261,0.3305
Wednesday,21,Christmas,1,Rainy,1475,1.0
Wednesday,3,None,0,Cloudy,1342,0.671
Friday,5,None,1,Cloudy,503,0.35150000000000003
Wednesday,1,Christmas,0,Clear,160,0.28
Friday,12,Diwali,0,Clear,1606,1.0
Friday,7,Diwali,0,Clear,143,0.2715
Saturday,15,Ganesh Chaturthi,1,Rainy,229,0.4145
Tuesday,9,None,0,Cloudy,1010,0.505
Thursday,18,Eid,1,Cloudy,662,0.631
Sunday,7,Eid,1,Clear,1816,1.0
Wednesday,2,Christmas,0,Clear,1870,1.0
Wednesday,1,None,1,Clear,1608,0.904
Saturday,13,Eid,1,Clear,858,0.729
Sunday,6,Ganesh Chaturthi,1,Cloudy,1780,1.0
Wednesday,10,Diwali,1,Cloudy,1154,0.8769999999999999
Sunday,13,Ganesh Chaturthi,0,Clear,1071,0.7355
Sunday,23,None,0,Rainy,192,0.096
Monday,7,Diwali,0,Rainy,500,0.45
Friday,1,Christmas,1,Cloudy,1465,1.0
Saturday,18,Eid,0,Clear,1777,1.0
Tuesday,12,Christmas,0,Clear,635,0.5175000000000001
Tuesday,22,Diwali,0,Clear,390,0.395
Sunday,7,Eid,1,Cloudy,1254,0.9269999999999999
Tuesday,10,Diwali,0,Clear,473,0.4365
Friday,2,Eid,1,Clear,342,0.471
Sunday,2,None,0,Clear,1045,0.5225
Friday,22,None,1,Rainy,275,0.23750000000000002
Wednesday,8,None,0,Clear,1360,0.68
Sunday,15,Eid,0,Cloudy,1440,0.9199999999999999
Sunday,1,None,0,Cloudy,844,0.422
Monday,14,Christmas,0,Rainy,1344,0.8720000000000001
Thursday,3,Ganesh Chaturthi,1,Rainy,139,0.36950000000000005
Friday,4,Diwali,0,Rainy,893,0.6465000000000001
Sunday,23,Ganesh Chaturthi,0,Clear,1486,0.9430000000000001
Thursday,21,None,0,Rainy,1221,0.6105
Friday,22,Christmas,1,Cloudy,271,0.4355
Monday,14,Christmas,0,Clear,438,0.41900000000000004
Monday,2,None,0,Clear,1448,0.724
Tuesday,3,Diwali,0,Rainy,1869,1.0
Monday,18,Ganesh Chaturthi,0,Rainy,364,0.382
Monday,12,Eid,1,Cloudy,1275,0.9374999999999999
Saturday,18,Christmas,0,Cloudy,1667,1.0
Sunday,4,Diwali,1,Cloudy,1169,0.8845
Monday,9,Ganesh Chaturthi,0,Rainy,229,0.3145
Tuesday,2,None,1,Clear,1848,1.0
Monday,6,Christmas,0,Clear,213,0.3065
Monday,11,Ganesh Chaturthi,0,Rainy,1595,0.9975
Thursday,14,Christmas,0,Rainy,572,0.486
Friday,13,Ganesh Chaturthi,0,Rainy,1975,1.0
Thursday,10,Christmas,1,Cloudy,677,0.6385
Thursday,9,Eid,1,Rainy,1402,1.0
Monday,16,None,1,Clear,202,0.201
Monday,18,Eid,1,Cloudy,688,0.644
Monday,16,Christmas,0,Cloudy,608,0.504
Friday,8,None,0,Rainy,673,0.3365
Wednesday,9,Eid,0,Rainy,1833,1.0
Wednesday,8,None,1,Cloudy,836,0.518
Thursday,0,Eid,1,Rainy,1793,1.0
Monday,18,Diwali,0,Clear,1941,1.0
Sunday,19,Christmas,0,Clear,266,0.333
Thursday,7,Eid,1,Cloudy,1096,0.848
Tuesday,16,Christmas,1,Clear,483,0.5415
Wednesday,19,Christmas,1,Rainy,570,0.585
Thursday,12,Eid,0,Rainy,1757,1.0
Monday,6,Eid,0,Cloudy,656,0.528
Wednesday,11,Diwali,1,Rainy,659,0.6295000000000001
Saturday,15,Ganesh Chaturthi,0,Clear,1673,1.0
Sunday,18,Eid,1,Rainy,883,0.7414999999999999
Thursday,7,Christmas,1,Cloudy,1905,1.0
Sunday,17,Ganesh Chaturthi,1,Cloudy,816,0.708
Tuesday,7,Christmas,0,Cloudy,527,0.4635
Thursday,17,None,1,Cloudy,1888,1.0
Wednesday,10,Diwali,0,Rainy,865,0.6325000000000001
Friday,9,Eid,0,Cloudy,1740,1.0
Friday,2,Christmas,1,Cloudy,1105,0.8524999999999999
Friday,16,Ganesh Chaturthi,1,Rainy,602,0.601
Sunday,21,Christmas,1,Cloudy,595,0.5975
Monday,7,None,0,Cloudy,1422,0.711
Tuesday,3,None,1,Rainy,498,0.349
Monday,5,Christmas,1,Rainy,1072,0.836
Friday,0,Diwali,0,Rainy,509,0.4545
Tuesday,4,Diwali,0,Cloudy,1654,1.0
Monday,14,Eid,1,Clear,1117,0.8584999999999999
Thursday,6,Eid,0,Clear,1074,0.7370000000000001
Thursday,20,Eid,1,Clear,1055,0.8275
Saturday,14,Ganesh Chaturthi,1,Cloudy,1946,1.0
Thursday,22,Christmas,0,Cloudy,671,0.5355000000000001
Sunday,12,Diwali,1,Clear,768,0.684
Friday,22,Ganesh Chaturthi,1,Clear,1747,1.0
Monday,15,None,0,Rainy,377,0.1885
Friday,8,None,0,Cloudy,408,0.204
Thursday,22,Eid,1,Clear,150,0.375
Sunday,10,Ganesh Chaturthi,1,Clear,947,0.7735
Saturday,21,Eid,1,Rainy,1751,1.0
Tuesday,22,Christmas,1,Clear,900,0.75
Sunday,0,Eid,0,Cloudy,1995,1.0
Saturday,2,None,0,Rainy,123,0.0615
Monday,9,Eid,0,Cloudy,751,0.5755
Wednesday,16,None,1,Clear,822,0.511
Wednesday,4,Eid,0,Clear,1510,0.9550000000000001
Sunday,0,Ganesh Chaturthi,1,Clear,1862,1.0
Sunday,1,Ganesh Chaturthi,0,Clear,1250,0.825
Tuesday,0,None,0,Clear,1286,0.643
Friday,15,None,1,Clear,1139,0.6695
Monday,8,Christmas,0,Clear,500,0.45
Tuesday,22,Diwali,0,Cloudy,459,0.4295
Monday,23,Diwali,1,Clear,1583,1.0
Thursday,7,Diwali,1,Rainy,1434,1.0
Saturday,9,Diwali,0,Clear,940,0.6699999999999999
Wednesday,1,Eid,0,Clear,436,0.41800000000000004
Tuesday,20,Ganesh Chaturthi,1,Clear,1183,0.8915000000000001
Friday,3,Christmas,1,Cloudy,1613,1.0
Friday,20,Ganesh Chaturthi,1,Clear,1820,1.0
Friday,19,Eid,1,Clear,1757,1.0
Sunday,22,Eid,1,Clear,1666,1.0
Thursday,18,Eid,1,Rainy,1266,0.9329999999999999
Tuesday,11,None,0,Rainy,1525,0.7625
Thursday,14,Ganesh Chaturthi,1,Clear,1322,0.961
Saturday,21,Christmas,0,Rainy,366,0.383
Sunday,17,Ganesh Chaturthi,1,Clear,1677,1.0
Tuesday,8,Ganesh Chaturthi,1,Cloudy,218,0.40900000000000003
Wednesday,15,Diwali,0,Rainy,601,0.5005
Wednesday,22,Ganesh Chaturthi,1,Cloudy,789,0.6945
Friday,5,Ganesh Chaturthi,1,Cloudy,364,0.482
Tuesday,13,Eid,0,Rainy,1191,0.7955000000000001
Monday,16,Ganesh Chaturthi,1,Rainy,697,0.6485
Tuesday,0,Eid,0,Clear,723,0.5615
Monday,9,Ganesh Chaturthi,1,Rainy,513,0.5565
Sunday,21,None,0,Rainy,1554,0.777
Sunday,11,None,0,Cloudy,827,0.4135
Saturday,15,Eid,1,Rainy,947,0.7735
Saturday,12,Christmas,1,Clear,1450,1.0
Tuesday,8,None,0,Cloudy,1209,0.6045
Wednesday,17,Diwali,1,Cloudy,1356,0.9780000000000001
Monday,18,Diwali,0,Rainy,577,0.4885
Monday,7,Christmas,1,Rainy,516,0.558
Tuesday,10,Diwali,0,Rainy,1736,1.0
Wednesday,4,Christmas,0,Clear,489,0.4445
Sunday,19,Christmas,0,Clear,1448,0.9239999999999999
Tuesday,16,Diwali,0,Rainy,1534,0.9670000000000001
Saturday,23,Ganesh Chaturthi,0,Clear,235,0.3175
Tuesday,12,Christmas,0,Rainy,1969,1.0
Sunday,8,Diwali,1,Cloudy,1393,0.9965
Monday,8,Christmas,0,Rainy,725,0.5625
Tuesday,18,Diwali,0,Clear,606,0.503
Monday,11,Diwali,1,Cloudy,1389,0.9945
Friday,13,Christmas,0,Cloudy,288,0.344
Friday,10,Ganesh Chaturthi,0,Clear,1836,1.0
Thursday,7,Diwali,1,Clear,1630,1.0
Monday,1,Christmas,1,Cloudy,1264,0.932
Wednesday,22,Eid,1,Rainy,1034,0.8170000000000001
Wednesday,2,Christmas,1,Clear,160,0.38
Saturday,4,Diwali,1,Clear,950,0.775
Sunday,17,Ganesh Chaturthi,0,Rainy,1113,0.7565
Saturday,14,Ganesh Chaturthi,0,Cloudy,220,0.31
Saturday,12,Eid,1,Cloudy,992,0.7959999999999999
Thursday,19,Eid,0,Rainy,532,0.466
Sunday,13,Diwali,0,Rainy,1952,1.0
Wednesday,11,Eid,1,Cloudy,264,0.43200000000000005
Tuesday,5,Eid,0,Cloudy,196,0.29800000000000004
Tuesday,5,Ganesh Chaturthi,0,Cloudy,779,0.5895
Saturday,14,Ganesh Chaturthi,1,Clear,523,0.5615
Friday,11,Eid,0,Rainy,525,0.4625
Saturday,16,Christmas,1,Clear,1426,1.0
Thursday,9,Christmas,1,Rainy,1890,1.0
Monday,23,None,1,Rainy,1955,1.0
Sunday,23,Diwali,0,Rainy,593,0.4965
Monday,22,None,0,Cloudy,640,0.32
Monday,12,Eid,1,Cloudy,1566,1.0
Wednesday,10,Diwali,1,Rainy,1684,1.0
Monday,21,Eid,1,Clear,1049,0.8244999999999999
Sunday,15,Eid,1,Cloudy,984,0.7919999999999999
Wednesday,11,Ganesh Chaturthi,1,Cloudy,552,0.5760000000000001
Thursday,8,Ganesh Chaturthi,1,Rainy,1678,1.0
Thursday,12,Ganesh Chaturthi,1,Clear,1101,0.8504999999999999
Thursday,17,None,1,Rainy,1961,1.0
Wednesday,23,Ganesh Chaturthi,0,Rainy,1300,0.8500000000000001
Sunday,3,Christmas,0,Cloudy,143,0.2715
Tuesday,19,None,1,Clear,1493,0.8465
Tuesday,4,Eid,0,Cloudy,885,0.6425000000000001
Tuesday,10,None,1,Cloudy,1040,0.62
Sunday,12,Christmas,0,Rainy,1418,0.909
Friday,14,Christmas,1,Cloudy,568,0.584
Sunday,19,Eid,0,Cloudy,698,0.5489999999999999
Saturday,13,Ganesh Chaturthi,0,Clear,518,0.459
Friday,6,Diwali,1,Cloudy,644,0.622
Sunday,8,Diwali,0,Rainy,208,0.304
Monday,3,Ganesh Chaturthi,0,Rainy,1317,0.8585
Monday,18,None,1,Clear,405,0.3025
Friday,4,Eid,0,Rainy,1953,1.0
Wednesday,2,None,0,Cloudy,177,0.0885
Friday,19,None,0,Cloudy,1972,0.986
Sunday,4,Diwali,1,Rainy,1107,0.8535
Sunday,2,Ganesh Chaturthi,0,Rainy,1757,1.0
Monday,0,Ganesh Chaturthi,1,Rainy,488,0.544
Friday,7,Christmas,0,Rainy,937,0.6685000000000001
Friday,19,Diwali,0,Rainy,1997,1.0
Monday,22,Christmas,1,Clear,1272,0.936
Wednesday,23,Diwali,1,Rainy,164,0.382
